impl,producers,consumers,messages_per_producer,msg_size,extra,seconds,msgs_per_sec,correctness
pipes,1,1,200000,64,na,0.050,4026063,PASS
shm_sem,1,1,200000,64,slots=64,0.061,3272489,PASS
mq,1,1,200000,64,maxmsg=10,0.064,3108186,PASS
pipes,1,2,200000,64,na,0.068,2952138,PASS
shm_sem,1,2,200000,64,slots=64,0.066,3027161,PASS
mq,1,2,200000,64,maxmsg=10,0.077,2613378,PASS
pipes,2,1,100000,64,na,0.040,4983030,PASS
shm_sem,2,1,100000,64,slots=64,0.068,2940464,PASS
mq,2,1,100000,64,maxmsg=10,0.054,3677947,PASS
pipes,2,2,100000,64,na,0.043,4704507,PASS
shm_sem,2,2,100000,64,slots=64,0.072,2779236,PASS
mq,2,2,100000,64,maxmsg=10,0.068,2929901,PASS
pipes,4,1,50000,64,na,0.049,4089014,PASS
shm_sem,4,1,50000,64,slots=128,0.097,2062571,PASS
mq,4,1,50000,64,maxmsg=10,0.085,2353177,PASS
pipes,4,2,50000,64,na,0.051,3897777,PASS
shm_sem,4,2,50000,64,slots=128,0.075,2665027,PASS
mq,4,2,50000,64,maxmsg=10,0.067,2988370,PASS
pipes,1,1,200000,256,na,0.040,5024154,PASS
shm_sem,1,1,200000,256,slots=64,0.053,3751831,PASS
mq,1,1,200000,256,maxmsg=10,0.064,3133555,PASS
pipes,1,2,200000,256,na,0.063,3155003,PASS
shm_sem,1,2,200000,256,slots=64,0.061,3257299,PASS
mq,1,2,200000,256,maxmsg=10,0.080,2500068,PASS
pipes,2,1,100000,256,na,0.045,4448858,PASS
shm_sem,2,1,100000,256,slots=64,0.060,3313324,PASS
mq,2,1,100000,256,maxmsg=10,0.072,2763368,PASS
pipes,2,2,100000,256,na,0.056,3542487,PASS
shm_sem,2,2,100000,256,slots=64,0.060,3312748,PASS
mq,2,2,100000,256,maxmsg=10,0.070,2846859,PASS
pipes,4,1,50000,256,na,0.048,4198595,PASS
shm_sem,4,1,50000,256,slots=128,0.089,2255412,PASS
mq,4,1,50000,256,maxmsg=10,0.096,2072823,PASS
pipes,4,2,50000,256,na,0.054,3713279,PASS
shm_sem,4,2,50000,256,slots=128,0.078,2570001,PASS
mq,4,2,50000,256,maxmsg=10,0.067,2981078,PASS
